order_item_id,order_id,product_id,quantity,unit_price
1,1,27,3,548.0
2,1,76,10,107.46
3,1,28,1,460.79
4,1,30,5,196.77
5,1,43,3,500.38
6,2,70,3,77.74
7,2,33,2,241.23
8,3,17,1,822.34
9,4,31,1,700.52
10,4,76,3,107.46
11,4,42,5,981.01
12,5,17,7,822.34
13,6,15,6,934.91
14,6,96,9,151.69
15,6,9,10,513.16
16,6,61,2,853.25
17,6,58,8,345.18
18,7,29,9,328.56
19,7,79,5,449.24
20,7,6,8,555.75
21,7,94,1,248.42
22,7,85,1,381.09
23,8,52,8,725.22
24,8,55,8,162.82
25,8,88,2,570.27
26,8,14,2,420.79
27,9,78,3,873.85
28,9,19,5,305.57
29,9,9,10,513.16
30,10,71,9,634.85
31,10,92,5,872.13
32,10,42,8,981.01
33,10,49,9,445.9
34,10,77,10,637.41
35,11,13,9,792.11
36,11,90,4,178.28
37,11,15,7,934.91
38,11,84,8,300.43
39,12,53,8,415.88
40,12,44,7,46.65
41,13,94,6,248.42
42,13,13,5,792.11
43,13,41,6,822.54
44,13,55,3,162.82
45,14,9,2,513.16
46,14,12,6,283.48
47,14,11,3,865.39
48,14,56,9,474.8
49,15,76,9,107.46
50,16,43,7,500.38
51,16,86,1,154.11
52,16,16,5,512.66
53,16,53,10,415.88
54,16,46,5,594.28
55,17,14,4,420.79
56,17,74,3,749.3
57,17,65,8,323.49
58,18,14,9,420.79
59,18,45,6,507.27
60,19,98,5,261.44
61,20,29,10,328.56
62,20,55,9,162.82
63,20,72,1,921.72
64,20,99,10,262.77
65,20,80,5,697.06
66,21,24,5,543.19
67,22,44,3,46.65
68,22,45,3,507.27
69,22,1,10,513.78
70,23,9,1,513.16
71,23,19,2,305.57
72,23,95,9,913.7
73,23,82,4,55.53
74,24,54,6,658.23
75,24,59,5,695.78
76,24,44,6,46.65
77,24,21,10,998.91
78,25,11,10,865.39
79,25,7,1,389.75
80,25,20,2,591.07
81,25,21,5,998.91
82,25,97,8,466.54
83,26,63,5,860.75
84,26,78,4,873.85
85,26,57,9,969.51
86,26,54,2,658.23
87,27,56,10,474.8
88,27,15,8,934.91
89,27,37,9,708.18
90,28,6,10,555.75
91,28,29,1,328.56
92,28,51,1,462.36
93,29,39,3,392.22
94,29,28,5,460.79
95,30,42,8,981.01
96,30,16,7,512.66
97,30,1,3,513.78
98,31,49,4,445.9
99,31,69,9,45.54
100,32,86,1,154.11
101,32,46,7,594.28
102,32,10,1,880.53
103,32,51,8,462.36
104,32,95,2,913.7
105,33,74,7,749.3
106,33,55,5,162.82
107,33,52,2,725.22
108,34,3,8,836.38
109,34,42,6,981.01
110,34,22,2,494.74
